 0.98 400 4.60 0.0072 4.479e-06 0.0054 9.641e-13
 0.98 400 4.70 0.0066 4.522e-06 0.0053 8.907e-13
 0.98 400 4.80 0.0061 4.566e-06 0.0051 8.242e-13
 0.98 400 4.90 0.0057 4.609e-06 0.0049 7.638e-13
 0.98 400 5.00 0.0054 4.653e-06 0.0047 7.089e-13
 0.98 400 5.10 0.0050 4.696e-06 0.0046 6.589e-13
 0.98 400 5.20 0.0048 4.739e-06 0.0045 6.133e-13
 0.98 400 5.30 0.0045 4.783e-06 0.0043 5.716e-13
 0.98 400 5.40 0.0043 4.826e-06 0.0042 5.334e-13
 0.98 400 5.50 0.0041 4.870e-06 0.0041 4.984e-13
 0.98 420 1.10 3.1309 2.220e-06 0.0641 3.857e-10
 0.98 420 1.20 2.4868 2.307e-06 0.0565 1.976e-10
 0.98 420 1.30 1.9960 2.394e-06 0.0500 1.262e-10
 0.98 420 1.40 1.6135 2.481e-06 0.0445 8.832e-11
 0.98 420 1.50 1.3121 2.568e-06 0.0400 6.508e-11
 0.98 420 1.60 1.0725 2.655e-06 0.0361 4.966e-11
 0.98 420 1.70 0.8809 2.741e-06 0.0328 3.887e-11
 0.98 420 1.80 0.7267 2.785e-06 0.0300 3.103e-11
 0.98 420 1.90 0.6019 2.872e-06 0.0275 2.518e-11
 0.98 420 2.00 0.5005 2.915e-06 0.0254 2.071e-11
 0.98 420 2.10 0.4177 3.002e-06 0.0234 1.722e-11
 0.98 420 2.20 0.3499 3.045e-06 0.0218 1.447e-11
 0.98 420 2.30 0.2940 3.132e-06 0.0203 1.226e-11
 0.98 420 2.40 0.2479 3.176e-06 0.0189 1.048e-11
 0.98 420 2.50 0.2096 3.263e-06 0.0177 9.010e-12
 0.98 420 2.60 0.1778 3.306e-06 0.0166 7.799e-12
 0.98 420 2.70 0.1512 3.349e-06 0.0156 6.790e-12
 0.98 420 2.80 0.1290 3.436e-06 0.0148 5.942e-12
 0.98 420 2.90 0.1104 3.480e-06 0.0139 5.226e-12
 0.98 420 3.00 0.0947 3.523e-06 0.0132 4.616e-12
 0.98 420 3.10 0.0815 3.567e-06 0.0125 4.095e-12
 0.98 420 3.20 0.0703 3.610e-06 0.0119 3.646e-12
 0.98 420 3.30 0.0608 3.697e-06 0.0113 3.258e-12
 0.98 420 3.40 0.0527 3.740e-06 0.0108 2.921e-12
 0.98 420 3.50 0.0459 3.784e-06 0.0103 2.628e-12
 0.98 420 3.60 0.0400 3.827e-06 0.0098 2.370e-12
 0.98 420 3.70 0.0350 3.871e-06 0.0094 2.144e-12
 0.98 420 3.80 0.0307 3.914e-06 0.0090 1.945e-12
 0.98 420 3.90 0.0271 3.958e-06 0.0086 1.768e-12
 0.98 420 4.00 0.0239 4.001e-06 0.0083 1.611e-12
 0.98 420 4.10 0.0212 4.044e-06 0.0080 1.472e-12
 0.98 420 4.20 0.0188 4.088e-06 0.0077 1.347e-12
 0.98 420 4.30 0.0168 4.131e-06 0.0074 1.236e-12
 0.98 420 4.40 0.0151 4.175e-06 0.0071 1.135e-12
 0.98 420 4.50 0.0135 4.218e-06 0.0068 1.045e-12
 0.98 420 4.60 0.0122 4.262e-06 0.0066 9.641e-13
 0.98 420 4.70 0.0111 4.305e-06 0.0064 8.907e-13
 0.98 420 4.80 0.0101 4.348e-06 0.0062 8.242e-13
 0.98 420 4.90 0.0092 4.392e-06 0.0060 7.638e-13
 0.98 420 5.00 0.0084 4.435e-06 0.0058 7.089e-13
 0.98 420 5.10 0.0078 4.435e-06 0.0056 6.589e-13
 0.98 420 5.20 0.0072 4.479e-06 0.0054 6.133e-13
 0.98 420 5.30 0.0067 4.522e-06 0.0052 5.716e-13
 0.98 420 5.40 0.0062 4.566e-06 0.0051 5.334e-13
 0.98 420 5.50 0.0058 4.609e-06 0.0049 4.984e-13
 0.94 380 1.10 0.4441 2.741e-06 0.0335 1.157e-09
 0.94 380 1.20 0.3431 2.828e-06 0.0294 5.929e-10
 0.94 380 1.30 0.2677 2.959e-06 0.0260 3.787e-10
 0.94 380 1.40 0.2105 3.045e-06 0.0231 2.650e-10
 0.94 380 1.50 0.1667 3.132e-06 0.0207 1.953e-10
 0.94 380 1.60 0.1329 3.219e-06 0.0187 1.490e-10
 0.94 380 1.70 0.1066 3.306e-06 0.0170 1.166e-10
 0.94 380 1.80 0.0860 3.393e-06 0.0155 9.310e-11
 0.94 380 1.90 0.0699 3.480e-06 0.0142 7.554e-11
 0.94 380 2.00 0.0571 3.567e-06 0.0131 6.212e-11
 0.94 380 2.10 0.0469 3.654e-06 0.0121 5.167e-11
 0.94 380 2.20 0.0388 3.740e-06 0.0112 4.341e-11
 0.94 380 2.30 0.0323 3.784e-06 0.0104 3.679e-11
 0.94 380 2.40 0.0270 3.871e-06 0.0097 3.143e-11
 0.94 380 2.50 0.0228 3.958e-06 0.0091 2.703e-11
 0.94 380 2.60 0.0193 4.001e-06 0.0085 2.340e-11
 0.94 380 2.70 0.0165 4.088e-06 0.0080 2.037e-11
 0.94 380 2.80 0.0142 4.131e-06 0.0076 1.783e-11
 0.94 380 2.90 0.0123 4.218e-06 0.0072 1.568e-11
 0.94 380 3.00 0.0108 4.262e-06 0.0068 1.385e-11
 0.94 380 3.10 0.0095 4.348e-06 0.0064 1.228e-11
 0.94 380 3.20 0.0084 4.392e-06 0.0061 1.094e-11
 0.94 380 3.30 0.0075 4.435e-06 0.0058 9.775e-12
 0.94 380 3.40 0.0068 4.522e-06 0.0055 8.764e-12
 0.94 380 3.50 0.0062 4.566e-06 0.0053 7.883e-12
 0.94 380 3.60 0.0057 4.609e-06 0.0050 7.111e-12
 0.94 380 3.70 0.0053 4.696e-06 0.0048 6.432e-12
 0.94 380 3.80 0.0049 4.739e-06 0.0046 5.834e-12
 0.94 380 3.90 0.0046 4.783e-06 0.0044 5.304e-12
 0.94 380 4.00 0.0043 4.826e-06 0.0042 4.834e-12
 0.94 380 4.10 0.0041 4.913e-06 0.0041 4.415e-12
 0.94 380 4.20 0.0039 4.957e-06 0.0039 4.042e-12
 0.94 380 4.30 0.0038 5.000e-06 0.0038 3.707e-12
 0.94 380 4.40 0.0036 5.000e-06 0.0036 3.406e-12
 0.94 380 4.50 0.0035 5.000e-06 0.0035 3.136e-12
 0.94 380 4.60 0.0034 5.000e-06 0.0034 2.892e-12
 0.94 380 4.70 0.0034 5.000e-06 0.0034 2.672e-12
 0.94 380 4.80 0.0033 5.000e-06 0.0033 2.472e-12
 0.94 380 4.90 0.0032 5.000e-06 0.0032 2.291e-12
 0.94 380 5.00 0.0032 5.000e-06 0.0032 2.127e-12
 0.94 380 5.10 0.0031 5.000e-06 0.0031 1.977e-12
 0.94 380 5.20 0.0031 5.000e-06 0.0031 1.840e-12
 0.94 380 5.30 0.0031 5.000e-06 0.0031 1.715e-12
 0.94 380 5.40 0.0030 5.000e-06 0.0030 1.600e-12
 0.94 380 5.50 0.0030 5.000e-06 0.0030 1.495e-12
 0.94 400 1.10 0.6805 2.568e-06 0.0408 1.157e-09
 0.94 400 1.20 0.5335 2.698e-06 0.0358 5.929e-10
 0.94 400 1.30 0.4226 2.785e-06 0.0317 3.787e-10
 0.94 400 1.40 0.3372 2.872e-06 0.0282 2.650e-10
 0.94 400 1.50 0.2708 2.959e-06 0.0253 1.953e-10
 0.94 400 1.60 0.2188 3.045e-06 0.0228 1.490e-10
 0.94 400 1.70 0.1777 3.132e-06 0.0207 1.166e-10
 0.94 400 1.80 0.1451 3.219e-06 0.0189 9.310e-11
 0.94 400 1.90 0.1191 3.306e-06 0.0174 7.554e-11
 0.94 400 2.00 0.0982 3.393e-06 0.0160 6.212e-11
 0.94 400 2.10 0.0814 3.436e-06 0.0148 5.167e-11
 0.94 400 2.20 0.0678 3.523e-06 0.0137 4.341e-11
 0.94 400 2.30 0.0567 3.610e-06 0.0128 3.679e-11
 0.94 400 2.40 0.0476 3.654e-06 0.0119 3.143e-11
 0.94 400 2.50 0.0402 3.740e-06 0.0112 2.703e-11
 0.94 400 2.60 0.0341 3.784e-06 0.0105 2.340e-11
 0.94 400 2.70 0.0291 3.871e-06 0.0099 2.037e-11
 0.94 400 2.80 0.0249 3.914e-06 0.0093 1.783e-11
 0.94 400 2.90 0.0215 3.958e-06 0.0088 1.568e-11
 0.94 400 3.00 0.0186 4.044e-06 0.0083 1.385e-11
 0.94 400 3.10 0.0162 4.088e-06 0.0079 1.228e-11
 0.94 400 3.20 0.0142 4.175e-06 0.0075 1.094e-11
 0.94 400 3.30 0.0125 4.218e-06 0.0071 9.775e-12
